,TP9,AF7,AF8,TP10,Time
0,-11.719,-52.734,-35.156,-43.945,-0.015999999945051968
1,-17.578,-51.758,-38.086,-41.504,-0.011999999987892807
2,-12.207,-47.363,-38.086,-43.945,-0.008000000030733645
3,-7.324,-45.41,-34.18,-44.922,-0.003999999957159162
4,-12.207,-42.969,-35.645,-36.133,0.0
5,-20.02,-45.41,-33.203,-30.273,0.003999999957159162
6,-27.832,-48.34,-24.414,-21.973,0.008000000030733645
7,-32.227,-45.41,-21.973,-22.949,0.011999999987892807
8,-27.832,-45.898,-24.414,-29.785,0.015000000013969839
9,-28.809,-48.828,-23.926,-26.367,0.018999999971129
10,-31.738,-43.945,-20.508,-29.785,0.023000000044703484
11,-29.785,-41.992,-18.066,-34.18,0.027000000001862645
12,-28.32,-45.41,-18.066,-30.273,0.030000000027939677
13,-32.715,-48.828,-23.438,-36.133,0.03499999991618097
14,-39.551,-51.27,-28.32,-41.992,0.03899999998975545
15,-42.969,-46.387,-28.809,-38.086,0.042000000015832484
16,-41.992,-45.41,-30.762,-40.039,0.045999999972991645
17,-27.832,-47.363,-32.715,-29.785,0.04999999993015081
18,-22.461,-48.828,-32.715,-22.461,0.05400000000372529
19,-26.855,-45.41,-25.391,-20.508,0.05799999996088445
20,-27.344,-41.016,-25.391,-28.32,0.06199999991804361
21,-26.367,-44.434,-29.785,-33.203,0.0659999999916181
22,-23.438,-48.34,-25.879,-30.762,0.06999999994877726
23,-26.367,-48.828,-25.391,-35.156,0.07400000002235174
24,-30.762,-49.316,-30.273,-34.18,0.07499999995343387
25,-23.438,-48.34,-24.902,-32.227,0.07899999991059303
26,-18.066,-44.922,-26.367,-32.715,0.08299999998416752
27,-17.09,-43.457,-33.203,-29.297,0.08699999994132668
28,-27.344,-41.504,-31.25,-27.344,0.09100000001490116
29,-28.809,-40.039,-32.227,-28.809,0.09499999997206032
30,-22.949,-45.41,-30.273,-31.25,0.09899999992921948
31,-20.508,-44.922,-26.855,-30.273,0.10299999988637865
32,-23.926,-43.945,-27.832,-28.32,0.10699999995995313
33,-25.879,-49.316,-26.367,-25.879,0.11099999991711229
34,-23.438,-53.223,-31.25,-35.645,0.11499999987427145
35,-31.25,-59.082,-38.574,-40.039,0.11899999994784594
36,-32.715,-62.5,-33.691,-31.738,0.12099999992642552
37,-32.715,-54.199,-32.715,-30.762,0.12499999988358468
38,-34.668,-50.781,-34.18,-32.715,0.1279999999096617
39,-36.133,-55.176,-35.645,-31.25,0.1319999999832362
40,-35.645,-56.641,-37.109,-24.902,0.13599999994039536
41,-31.738,-52.734,-34.18,-22.461,0.13999999989755452
42,-22.461,-50.781,-31.738,-24.414,0.143999999971129
43,-16.602,-47.852,-29.785,-22.461,0.14799999992828816
44,-21.973,-44.922,-30.762,-19.043,0.15199999988544732
45,-29.785,-47.363,-37.109,-19.531,0.1559999999590218
46,-28.32,-46.387,-40.039,-27.832,0.15899999998509884
47,-21.973,-46.387,-36.621,-29.297,0.162999999942258
48,-24.902,-41.992,-33.691,-21.973,0.16599999996833503
49,-27.344,-36.133,-32.715,-24.414,0.1699999999254942
50,-27.832,-39.062,-37.598,-39.062,0.17399999999906868
51,-22.949,-40.527,-37.109,-45.898,0.1769999999087304
52,-20.02,-38.086,-33.203,-43.945,0.18099999998230487
53,-29.785,-40.039,-33.203,-36.621,0.18499999993946403
54,-31.25,-43.945,-34.668,-36.621,0.18900000001303852
