,TP9,AF7,AF8,TP10
0,-60.547,-44.434,-32.227,-47.363
1,-56.641,-34.668,-28.809,-39.062
2,-56.641,-28.32,-29.297,-36.621
3,-54.199,-34.668,-32.715,-41.504
4,-53.711,-35.645,-33.691,-45.41
5,-54.688,-29.785,-34.668,-45.898
6,-57.617,-31.25,-32.227,-44.434
7,-66.406,-37.598,-33.203,-42.48
8,-64.941,-39.551,-36.133,-42.48
9,-57.129,-38.086,-30.762,-41.504
10,-59.57,-35.645,-28.32,-47.363
11,-64.453,-31.25,-30.762,-52.246
12,-64.941,-34.668,-30.273,-45.41
13,-59.082,-33.691,-28.809,-43.945
14,-57.129,-30.762,-31.25,-44.434
15,-61.523,-37.598,-31.25,-43.945
16,-61.523,-36.621,-30.273,-47.363
17,-60.059,-32.227,-33.203,-44.434
18,-64.453,-34.18,-36.621,-44.922
19,-71.289,-36.621,-34.18,-45.898
20,-75.195,-36.621,-30.762,-41.504
21,-72.754,-33.691,-29.785,-40.527
22,-71.777,-33.691,-30.762,-46.387
23,-68.848,-34.18,-29.297,-49.316
24,-66.406,-34.18,-24.902,-46.387
25,-62.988,-34.18,-26.367,-46.875
26,-58.594,-34.18,-27.344,-48.828
27,-59.57,-31.738,-31.25,-50.781
28,-56.152,-28.809,-33.691,-45.898
29,-58.105,-32.227,-36.621,-51.758
30,-56.152,-32.715,-34.18,-56.152
31,-48.34,-30.273,-29.785,-43.457
32,-53.223,-29.785,-31.25,-42.969
33,-54.688,-28.809,-31.738,-48.828
34,-49.805,-29.785,-32.227,-44.922
35,-46.875,-30.762,-23.926,-42.48
36,-45.898,-27.832,-18.555,-42.969
37,-46.875,-27.344,-20.508,-46.875
38,-43.457,-31.738,-18.066,-46.387
39,-42.48,-34.18,-14.648,-40.527
40,-46.875,-33.203,-12.207,-41.504
41,-47.363,-35.156,-10.254,-44.922
42,-47.852,-33.203,-6.348,-46.387
43,-50.781,-30.762,-0.977,-42.48
44,-55.176,-33.203,-2.441,-47.363
