,TP9,AF7,AF8,TP10
0,-20.508,-29.297,-23.438,-37.109
1,-25.879,-34.18,-22.461,-29.785
2,-29.785,-33.203,-24.414,-23.926
3,-25.879,-32.715,-25.391,-22.461
4,-30.762,-32.227,-24.414,-24.902
5,-33.691,-33.203,-25.391,-24.902
6,-41.992,-41.016,-24.902,-30.273
7,-45.41,-39.062,-25.879,-30.273
8,-42.969,-36.621,-27.344,-23.438
9,-44.434,-42.969,-26.855,-28.809
10,-45.898,-41.016,-26.855,-33.203
11,-49.316,-37.598,-27.832,-35.156
12,-45.898,-39.062,-29.297,-35.156
13,-43.457,-32.715,-27.832,-38.086
14,-46.875,-31.25,-25.879,-36.133
15,-40.527,-31.738,-30.273,-30.273
16,-34.18,-28.809,-33.203,-31.738
17,-35.156,-29.785,-34.668,-33.203
18,-38.574,-33.691,-33.691,-35.156
19,-35.156,-30.273,-32.715,-32.715
20,-28.32,-25.391,-30.762,-25.879
21,-29.785,-28.32,-32.715,-32.227
22,-33.203,-33.691,-36.133,-34.18
23,-37.598,-33.203,-31.25,-31.738
24,-31.738,-29.785,-26.367,-30.273
25,-25.879,-30.762,-21.484,-27.832
26,-24.414,-30.762,-20.996,-28.32
27,-18.555,-26.367,-21.973,-24.414
28,-17.578,-27.832,-24.414,-21.973
29,-10.742,-31.25,-24.414,-20.02
30,-11.719,-30.273,-23.926,-17.578
31,-21.484,-27.344,-25.391,-15.625
32,-22.949,-22.461,-23.926,-13.184
33,-19.043,-20.996,-22.461,-21.484
34,-14.16,-24.414,-22.461,-22.461
35,-24.414,-25.879,-23.438,-20.508
36,-33.691,-25.391,-24.414,-27.344
37,-29.785,-23.438,-20.02,-30.273
38,-28.32,-28.809,-20.508,-34.668
39,-33.203,-31.25,-27.344,-39.551
40,-32.715,-31.25,-27.832,-38.574
41,-31.25,-31.738,-26.855,-41.016
42,-30.762,-29.785,-29.297,-41.016
43,-35.156,-33.203,-30.762,-37.109
44,-33.691,-29.297,-28.32,-36.133
45,-27.832,-26.367,-26.855,-33.691
46,-32.715,-27.832,-29.297,-32.227
47,-39.062,-30.273,-29.297,-26.367
48,-35.156,-32.715,-25.391,-30.273
49,-39.062,-31.738,-23.438,-34.18
50,-39.062,-29.785,-21.973,-30.273
51,-39.062,-29.297,-20.02,-31.25
52,-39.062,-29.297,-24.414,-31.25
53,-40.527,-32.227,-17.578,-26.367
54,-38.086,-30.762,-12.695,-21.973
55,-32.227,-29.297,-12.695,-23.926
56,-37.109,-34.668,-15.625,-29.785
57,-41.016,-39.062,-17.578,-30.273
58,-37.109,-37.598,-18.555,-31.738
59,-35.645,-33.203,-25.391,-37.598
60,-31.25,-29.297,-27.832,-30.273
61,-28.809,-29.297,-22.949,-23.438
62,-31.25,-31.738,-24.902,-27.832
63,-28.32,-34.18,-30.273,-31.25
64,-32.227,-34.668,-28.32,-35.645
65,-32.715,-30.273,-26.855,-34.18
66,-38.086,-29.785,-28.32,-40.039
67,-44.922,-29.785,-29.297,-47.363
68,-41.992,-32.715,-28.809,-44.922
69,-41.992,-34.668,-31.738,-44.922
70,-42.969,-34.668,-32.227,-38.574
71,-37.598,-35.156,-32.715,-33.691
72,-31.738,-32.227,-32.715,-33.203
73,-42.48,-34.18,-32.227,-33.203
74,-47.852,-36.133,-32.715,-33.203
75,-42.969,-32.715,-27.344,-31.738
76,-38.574,-29.297,-25.879,-36.133
77,-31.25,-27.832,-25.879,-34.668
78,-32.227,-33.203,-22.461,-30.762
79,-39.551,-35.156,-22.949,-34.18
