,TP9,AF7,AF8,TP10
0,-3.418,-20.996,-35.156,-9.766
1,-7.812,-23.926,-34.668,-15.137
2,-6.348,-29.785,-40.527,-12.695
3,-1.465,-33.691,-42.48,-4.395
4,-1.953,-26.367,-35.645,0.977
5,-4.883,-21.973,-32.227,2.441
6,-1.465,-23.438,-34.668,-3.906
7,-0.488,-21.973,-31.738,-5.371
8,-13.184,-24.902,-31.25,-10.254
9,-21.973,-30.273,-32.227,-11.23
10,-23.926,-27.832,-31.738,-15.137
11,-20.508,-23.438,-30.273,-16.113
12,-19.531,-24.414,-30.762,-14.648
13,-31.738,-29.297,-29.785,-26.855
14,-32.227,-28.32,-31.25,-29.297
15,-25.879,-24.902,-26.367,-25.391
16,-20.996,-27.832,-22.949,-22.949
17,-24.902,-31.25,-29.297,-25.391
18,-28.809,-30.273,-31.738,-23.926
19,-17.578,-31.738,-30.273,-20.508
20,-17.09,-36.133,-31.738,-22.461
21,-26.367,-35.156,-34.18,-25.879
22,-22.461,-32.227,-34.18,-25.879
23,-22.461,-33.203,-32.715,-26.367
24,-18.555,-29.297,-31.738,-27.344
25,-20.996,-31.25,-34.668,-26.367
26,-23.926,-28.32,-36.133,-22.949
27,-24.414,-24.414,-35.645,-24.414
28,-21.484,-24.414,-34.18,-27.832
29,-22.949,-25.391,-35.156,-31.738
30,-29.785,-30.762,-29.785,-32.715
31,-30.762,-34.668,-27.832,-37.109
32,-28.809,-30.762,-29.297,-38.574
33,-22.461,-26.367,-28.32,-23.926
34,-25.391,-27.832,-29.297,-24.902
35,-36.133,-29.785,-35.156,-39.062
36,-31.738,-27.344,-36.133,-35.156
37,-18.555,-22.461,-30.762,-31.738
38,-20.02,-20.508,-32.715,-34.18
39,-21.973,-17.578,-30.273,-31.738
40,-18.066,-21.484,-27.832,-30.273
41,-10.742,-23.438,-34.18,-23.926
42,-5.859,-17.09,-30.762,-22.461
43,-14.16,-16.602,-32.227,-29.785
44,-19.043,-18.066,-34.668,-28.32
45,-16.113,-18.066,-27.832,-23.438
46,-15.625,-20.508,-27.832,-27.344
47,-26.855,-24.902,-33.203,-39.062
48,-33.691,-27.832,-30.273,-38.086
49,-30.273,-27.832,-29.297,-29.785
50,-28.809,-30.762,-33.691,-31.25
51,-36.133,-36.133,-35.645,-34.668
52,-39.551,-34.18,-31.738,-27.832
53,-28.32,-31.738,-28.32,-27.832
54,-25.391,-33.203,-25.391,-31.25
55,-32.715,-32.227,-22.461,-32.227
56,-35.645,-29.785,-26.367,-29.785
57,-39.551,-32.715,-35.156,-33.203
58,-33.203,-33.691,-36.621,-40.527
59,-26.855,-32.227,-32.715,-37.598
60,-38.574,-32.715,-35.645,-42.969
61,-38.086,-29.297,-35.156,-41.016
62,-20.996,-27.832,-32.715,-28.32
63,-24.414,-29.785,-33.203,-29.297
64,-34.668,-34.18,-31.738,-30.273
65,-27.832,-33.203,-27.832,-22.461
66,-22.949,-27.344,-27.832,-25.391
67,-19.043,-23.926,-29.785,-29.785
68,-28.32,-25.879,-30.762,-28.32
69,-35.156,-31.738,-31.25,-32.715
70,-29.785,-30.273,-28.32,-31.25
71,-25.391,-27.344,-30.273,-23.926
72,-27.344,-31.25,-31.738,-27.832
73,-39.062,-34.668,-26.367,-32.227
74,-37.109,-36.133,-27.344,-33.203
75,-30.273,-38.574,-33.203,-34.668
76,-34.668,-35.645,-33.203,-34.18
77,-41.016,-31.738,-26.855,-37.109
78,-45.41,-31.25,-31.738,-41.504
79,-40.039,-27.344,-38.086,-33.203
80,-29.297,-27.344,-39.062,-32.227
81,-33.203,-30.762,-38.574,-37.109
82,-42.48,-29.297,-39.062,-34.668
83,-37.598,-29.297,-37.598,-30.762
84,-29.297,-26.855,-34.668,-23.438
85,-32.715,-28.32,-31.738,-28.32
86,-41.016,-29.785,-29.297,-31.25
87,-38.086,-30.273,-32.715,-30.762
88,-27.832,-32.715,-34.668,-31.738
89,-27.344,-28.32,-30.273,-29.297
90,-32.227,-24.414,-25.391,-28.32
91,-32.227,-22.949,-24.902,-28.809
92,-23.926,-25.391,-28.809,-28.809
93,-17.09,-25.391,-28.32,-28.809
94,-18.066,-22.949,-24.902,-27.344
95,-20.02,-29.297,-31.25,-34.668
96,-14.16,-31.738,-33.203,-37.598
97,-15.137,-31.738,-32.715,-30.762
98,-32.715,-30.273,-35.645,-33.203
99,-40.527,-26.855,-35.156,-38.574
100,-41.016,-27.832,-34.18,-43.457
101,-38.086,-31.25,-34.18,-43.457
102,-29.297,-28.809,-33.203,-38.086
103,-39.551,-23.926,-32.227,-41.504
104,-40.527,-27.344,-35.645,-44.434
105,-27.832,-26.367,-36.621,-35.645
106,-31.738,-24.414,-36.621,-34.668
107,-41.504,-25.879,-36.133,-38.574
108,-43.457,-24.414,-33.691,-38.574
109,-39.551,-27.344,-34.18,-36.133
110,-43.945,-31.738,-32.715,-31.738
111,-45.898,-28.809,-30.762,-25.879
112,-38.086,-24.902,-26.855,-28.809
113,-34.18,-27.344,-25.391,-34.18
114,-33.691,-29.297,-29.297,-34.18
115,-41.504,-25.879,-26.855,-44.434
116,-42.969,-22.949,-24.902,-48.34
117,-30.273,-19.531,-25.391,-33.203
118,-26.855,-19.043,-26.367,-31.738
119,-34.18,-26.855,-27.832,-36.621
120,-38.574,-26.367,-27.344,-37.109
121,-34.18,-22.461,-27.832,-35.156
122,-27.832,-26.367,-27.832,-28.32
123,-28.809,-26.855,-26.367,-30.273
124,-27.344,-18.066,-30.762,-32.227
125,-12.207,-19.531,-36.621,-17.578
126,-14.16,-30.273,-25.879,-11.719
127,-29.785,-27.832,-22.949,-27.344
128,-40.039,-29.297,-27.832,-34.18
129,-35.156,-31.738,-32.715,-29.297
130,-26.367,-29.297,-28.32,-28.809
131,-35.156,-32.227,-21.973,-34.668
132,-39.551,-32.227,-23.926,-26.367
133,-44.434,-35.645,-23.926,-25.391
134,-41.992,-36.133,-21.484,-34.668
135,-27.832,-35.645,-20.02,-28.809
136,-28.809,-33.691,-23.438,-29.785
137,-33.691,-32.227,-26.367,-39.062
138,-31.25,-32.227,-29.297,-37.109
139,-25.879,-33.203,-30.273,-26.855
140,-20.02,-28.32,-26.367,-25.879
141,-29.785,-25.879,-25.391,-32.715
142,-32.715,-29.785,-27.832,-39.551
143,-25.391,-28.32,-28.809,-41.016
144,-20.996,-21.973,-31.738,-39.062
145,-23.438,-21.973,-27.832,-34.18
146,-29.297,-26.367,-23.438,-27.344
147,-26.855,-30.273,-27.832,-21.484
148,-23.926,-34.18,-28.32,-19.043
149,-29.297,-28.809,-22.949,-19.043
150,-34.668,-28.32,-23.926,-23.438
151,-35.156,-36.133,-26.855,-28.32
152,-33.203,-34.668,-24.902,-25.879
153,-34.668,-32.715,-27.344,-27.832
154,-36.133,-29.785,-29.785,-34.668
155,-35.156,-33.203,-30.273,-33.203
156,-29.297,-35.156,-26.367,-23.926
157,-23.926,-28.32,-23.926,-20.996
158,-32.715,-25.391,-25.391,-32.227
159,-38.574,-29.297,-27.344,-38.574
160,-30.762,-29.297,-31.738,-35.645
161,-29.785,-24.902,-33.203,-30.762
162,-37.598,-26.855,-32.715,-34.18
163,-36.133,-31.25,-36.621,-31.738
164,-27.832,-26.367,-36.621,-23.438
165,-22.949,-20.996,-31.738,-19.043
166,-17.09,-19.043,-22.949,-19.043
167,-23.438,-23.438,-24.414,-25.391
168,-28.809,-23.926,-28.32,-24.902
169,-22.461,-21.973,-27.344,-26.367
170,-22.461,-23.926,-27.832,-27.832
171,-34.18,-25.879,-27.344,-27.344
172,-37.109,-29.297,-31.738,-28.809
173,-34.668,-30.762,-34.668,-28.32
174,-29.785,-32.715,-37.598,-27.344
175,-31.738,-31.25,-38.086,-29.297
176,-41.016,-31.738,-36.133,-37.109
177,-35.645,-31.25,-35.645,-35.645
178,-27.832,-30.273,-37.598,-26.855
179,-25.879,-33.691,-38.086,-26.367
180,-35.645,-31.25,-34.668,-30.273
181,-35.645,-26.855,-35.156,-37.109
182,-20.996,-27.832,-34.668,-28.809
183,-20.996,-29.785,-30.762,-20.996
184,-30.762,-33.691,-30.273,-30.273
185,-27.832,-29.297,-30.273,-35.645
186,-18.066,-28.32,-30.273,-29.297
187,-27.344,-35.156,-37.109,-29.785
188,-33.691,-28.32,-36.133,-34.18
189,-32.715,-24.414,-31.25,-33.203
190,-29.297,-25.879,-34.668,-34.668
191,-25.391,-24.414,-30.762,-33.691
192,-38.574,-24.414,-32.715,-40.527
193,-33.203,-23.438,-38.086,-31.25
194,-23.926,-26.367,-25.879,-20.02
195,-37.598,-31.25,-20.02,-34.668
196,-44.922,-33.691,-24.902,-40.039
197,-40.527,-35.645,-22.461,-33.203
198,-47.852,-39.062,-20.02,-34.668
199,-49.805,-37.109,-23.438,-42.48
200,-37.109,-32.227,-21.973,-34.18
201,-46.875,-39.062,-20.508,-34.18
202,-47.363,-43.457,-18.066,-36.133
203,-39.062,-37.598,-20.02,-31.738
204,-42.969,-38.086,-21.484,-34.668
205,-47.363,-37.109,-21.973,-40.527
206,-38.574,-33.203,-24.414,-32.715
207,-29.785,-33.203,-25.391,-25.879
208,-28.32,-35.156,-25.391,-29.297
209,-32.227,-32.227,-26.367,-27.344
210,-38.574,-32.227,-30.762,-24.902
211,-30.762,-32.227,-30.762,-26.367
212,-26.367,-33.691,-30.273,-29.785
213,-31.25,-33.203,-28.809,-29.785
214,-36.621,-27.832,-25.879,-25.391
215,-35.156,-30.762,-27.832,-21.973
216,-22.949,-29.785,-29.785,-16.602
217,-18.555,-26.367,-26.367,-14.648
218,-29.297,-29.785,-24.902,-18.066
219,-27.832,-33.691,-29.297,-24.414
220,-19.043,-31.738,-28.809,-18.555
221,-23.438,-30.762,-27.832,-15.625
222,-31.25,-30.762,-29.785,-26.367
223,-34.668,-32.715,-27.832,-30.762
224,-31.738,-32.715,-30.762,-33.691
225,-26.855,-30.273,-32.227,-26.855
226,-30.273,-28.32,-34.18,-21.973
227,-30.273,-29.297,-32.227,-31.738
228,-21.484,-29.785,-27.344,-30.762
229,-13.672,-27.344,-27.344,-25.391
230,-25.391,-26.855,-31.25,-32.227
231,-37.109,-29.297,-35.645,-33.203
232,-33.203,-27.832,-33.691,-26.367
233,-27.344,-28.32,-34.668,-22.949
234,-30.273,-27.344,-38.574,-33.203
235,-41.016,-24.902,-38.086,-44.922
236,-38.574,-27.344,-34.668,-30.762
237,-26.855,-27.832,-32.715,-17.09
238,-29.785,-23.926,-28.32,-25.391
239,-41.016,-29.297,-29.297,-37.109
240,-37.109,-31.25,-31.738,-30.273
241,-25.879,-25.879,-27.832,-20.02
242,-20.02,-28.32,-29.785,-29.785
243,-27.344,-29.785,-35.645,-35.645
244,-37.598,-27.344,-32.715,-39.551
245,-36.621,-28.809,-27.832,-53.223
246,-21.484,-20.996,-29.297,-36.621
247,-26.367,-24.414,-27.832,-36.133
248,-33.691,-28.32,-37.109,-42.48
249,-36.133,-25.879,-42.969,-37.598
250,-41.016,-32.227,-21.973,-56.641
251,-32.715,-34.668,-34.668,-41.992
252,-41.016,-31.738,-33.203,-26.367
253,-42.48,-29.297,-20.508,-49.316
254,-23.926,-24.902,-29.297,-42.969
255,-19.043,-23.438,-25.879,-51.758
256,-22.461,-26.367,-20.508,-44.922
257,-21.484,-26.855,-21.973,5.859
258,-11.719,-28.32,-26.855,22.461
259,-11.23,-27.832,-32.715,14.16
260,-17.578,-27.344,-33.691,3.418
261,-18.555,-24.902,-31.738,-7.324
262,-20.02,-24.414,-34.668,-21.484
263,-23.438,-25.391,-33.203,-27.344
264,-15.137,-23.926,-36.133,-64.941
265,-45.898,-31.25,-25.879,-146.484
266,-86.426,-55.664,19.531,-202.637
267,-59.57,-22.949,-31.738,-128.906
268,-101.074,-13.184,-30.273,-50.781
269,-133.301,-45.41,32.227,-70.312
