,TP9,AF7,AF8,TP10
0,-47.852,-35.156,-29.785,-51.758
1,-32.227,-32.227,-31.738,-35.645
2,-22.461,-32.227,-33.691,-23.926
3,-32.227,-30.273,-34.668,-41.992
4,-41.992,-29.297,-37.598,-58.594
5,-27.832,-28.809,-38.574,-45.898
6,-8.789,-21.973,-38.574,-26.367
7,-13.184,-17.09,-37.109,-35.156
8,-27.344,-24.414,-34.668,-61.035
9,-34.18,-25.879,-31.738,-49.316
10,-30.273,-26.367,-30.762,-17.578
11,-33.691,-30.762,-31.738,-20.996
12,-48.34,-31.738,-31.738,-45.41
13,-52.734,-30.762,-32.227,-48.828
14,-36.621,-27.344,-28.32,-32.715
15,-25.879,-24.414,-31.25,-24.414
16,-40.527,-27.344,-32.227,-39.551
17,-50.293,-34.668,-28.809,-48.828
18,-35.645,-33.691,-29.297,-31.738
19,-23.926,-32.227,-31.25,-14.648
20,-40.527,-30.273,-32.227,-34.18
21,-55.176,-26.855,-34.18,-54.688
22,-44.434,-27.832,-35.156,-43.457
23,-30.762,-29.297,-36.133,-26.855
24,-37.598,-33.691,-35.645,-36.621
25,-51.27,-36.621,-35.156,-56.152
26,-47.363,-33.203,-32.227,-53.223
27,-26.855,-30.762,-25.391,-27.344
28,-21.973,-33.203,-27.344,-13.672
29,-42.969,-32.715,-29.785,-32.715
30,-49.316,-32.715,-27.832,-39.062
31,-36.133,-29.785,-25.879,-21.973
32,-28.809,-28.32,-26.855,-5.371
33,-43.945,-30.273,-26.855,-18.066
34,-49.316,-33.691,-26.855,-32.227
35,-28.809,-31.738,-30.273,-12.695
36,-18.066,-25.879,-29.297,4.395
37,-24.902,-25.391,-25.391,-12.207
38,-34.18,-26.367,-24.414,-38.086
39,-28.32,-27.832,-22.949,-33.691
40,-17.09,-31.738,-24.902,-10.742
41,-25.879,-32.227,-30.273,-20.02
42,-37.109,-26.855,-32.227,-46.875
43,-32.715,-26.367,-30.762,-42.48
44,-18.066,-25.391,-29.297,-24.414
45,-13.184,-23.926,-29.297,-19.043
46,-26.855,-20.996,-33.203,-40.527
47,-20.508,-19.043,-40.039,-43.945
48,1.465,-22.949,-36.621,-16.602
49,-8.789,-30.273,-28.809,-3.906
50,-43.457,-37.109,-24.414,-32.715
51,-51.758,-35.645,-28.809,-47.363
52,-33.691,-34.668,-28.32,-17.578
53,-27.832,-32.715,-19.531,5.371
54,-44.434,-33.203,-23.926,-21.973
55,-52.246,-34.18,-29.785,-48.34
56,-37.109,-29.785,-25.391,-29.297
