,TP9,AF7,AF8,TP10
0,-10.254,-15.137,-30.762,-22.949
1,-29.297,-11.719,-32.227,-41.992
2,-35.156,-14.648,-31.738,-42.969
3,-29.785,-20.02,-29.297,-29.785
4,-29.785,-19.531,-29.297,-26.855
5,-41.992,-15.137,-30.273,-44.434
6,-47.852,-13.184,-29.297,-47.852
7,-34.18,-15.625,-22.949,-29.785
8,-26.367,-25.879,-24.414,-20.02
9,-29.297,-27.344,-32.227,-27.832
10,-31.738,-22.949,-32.715,-38.574
11,-24.414,-22.461,-31.738,-29.785
12,-16.602,-25.391,-34.18,-32.227
13,-14.648,-21.484,-29.297,-27.344
14,-28.809,-23.438,-23.438,-47.852
15,-32.715,-23.438,-26.367,-52.246
16,-18.066,-17.09,-22.461,-33.203
17,-10.254,-12.695,-22.949,-19.043
18,-29.785,-21.973,-29.785,-37.598
19,-39.551,-29.297,-29.297,-46.875
20,-27.344,-24.902,-26.367,-31.738
21,-17.578,-20.02,-22.949,-17.578
22,-28.809,-18.066,-23.926,-29.297
23,-39.551,-20.02,-24.902,-38.574
24,-35.645,-27.344,-20.02,-28.32
25,-28.809,-29.785,-24.902,-20.02
26,-41.016,-27.832,-30.762,-25.879
27,-46.387,-21.973,-25.879,-35.156
28,-36.621,-23.438,-23.926,-31.738
29,-30.273,-29.297,-27.832,-13.672
30,-21.484,-28.809,-27.832,-10.742
31,-25.879,-24.414,-24.414,-34.18
32,-27.344,-20.508,-21.973,-37.598
33,-11.719,-26.855,-21.484,-15.137
34,-8.301,-35.645,-29.785,-12.207
35,-22.949,-33.203,-32.227,-34.668
36,-29.297,-28.809,-26.367,-37.598
37,-28.809,-26.367,-25.879,-28.809
38,-21.973,-28.809,-29.297,-23.926
39,-27.344,-30.273,-27.344,-26.855
40,-40.527,-33.203,-30.273,-41.016
41,-31.25,-32.227,-27.344,-31.25
42,-17.09,-31.25,-25.391,-15.625
43,-19.043,-31.738,-30.762,-23.438
44,-34.18,-26.367,-28.809,-40.527
45,-39.062,-19.531,-32.227,-45.41
46,-22.461,-15.137,-33.203,-22.461
47,-18.066,-19.043,-34.668,-15.625
48,-33.203,-17.578,-35.645,-36.621
49,-36.621,-13.184,-31.738,-39.551
50,-21.973,-10.254,-28.809,-24.414
51,-17.578,-14.16,-28.32,-18.555
52,-26.367,-18.555,-26.855,-33.691
53,-29.297,-16.602,-26.367,-40.527
54,-18.555,-17.09,-24.902,-22.461
55,-6.348,-23.926,-21.484,-4.883
56,-7.324,-24.902,-19.043,-11.23
57,-20.02,-24.414,-19.531,-32.227
58,-19.043,-22.461,-19.531,-30.762
59,-7.324,-18.555,-18.555,-12.207
60,-16.113,-19.531,-20.02,-12.695
61,-32.227,-18.066,-22.949,-32.227
62,-27.832,-10.742,-28.32,-40.039
63,-19.043,-18.555,-27.344,-27.832
64,-14.16,-25.391,-25.879,-19.043
65,-23.926,-22.461,-29.785,-38.086
66,-34.668,-20.996,-32.227,-49.805
67,-23.438,-17.09,-26.855,-33.691
68,-14.16,-18.555,-21.973,-17.09
69,-17.09,-22.949,-24.902,-25.879
70,-24.902,-20.508,-27.344,-32.715
71,-20.508,-22.949,-23.438,-18.555
72,-8.789,-31.25,-24.902,-8.301
73,-16.113,-27.832,-23.438,-14.16
74,-28.32,-24.902,-24.902,-33.203
75,-24.414,-27.344,-27.832,-29.297
76,-8.789,-24.902,-25.391,-14.648
77,-6.836,-26.367,-23.926,-13.184
78,-22.461,-27.344,-21.484,-26.855
79,-23.438,-26.367,-23.926,-33.203
80,-11.23,-26.855,-23.926,-20.02
81,-6.348,-30.762,-20.996,-12.695
82,-17.09,-30.762,-22.461,-29.297
83,-31.25,-23.438,-21.484,-42.48
84,-27.344,-25.879,-24.414,-40.527
85,-18.066,-28.809,-27.832,-30.273
86,-29.297,-27.832,-30.762,-37.109
87,-41.992,-26.855,-33.203,-56.152
88,-35.645,-25.879,-36.133,-61.035
89,-7.324,-22.949,-36.621,-34.18
90,-2.93,-24.902,-25.879,-11.719
91,-47.852,-31.738,-20.996,-48.34
