,TP9,AF7,AF8,TP10
0,-99.121,-4.395,-51.758,-111.816
1,-11.23,55.664,-72.754,-21.973
2,29.297,95.215,-112.793,26.855
3,-13.184,74.219,-105.957,-0.488
4,-42.969,40.039,-72.754,-35.645
5,-36.133,13.184,-41.504,-50.293
6,-25.391,2.441,-21.973,-41.016
7,-38.574,12.207,2.93,-52.246
8,-62.5,1.953,20.996,-83.496
9,-51.758,8.301,12.695,-61.035
10,-33.691,12.207,-2.441,-32.227
11,14.648,33.691,8.789,21.973
12,11.23,20.508,16.113,17.09
13,-24.902,1.953,24.414,-31.738
14,-31.25,2.441,39.551,-39.551
15,-33.203,-20.02,43.945,-47.363
16,-46.875,-26.367,42.48,-70.312
17,-51.27,-0.488,47.363,-81.543
18,-23.438,18.555,53.711,-55.176
19,-34.668,-4.395,31.738,-54.688
20,-54.199,-18.555,11.23,-60.059
21,-25.391,-2.441,27.344,-26.367
22,-6.836,-4.883,32.227,-22.949
23,-20.508,-13.672,41.504,-33.203
24,-100.586,-61.523,75.195,-114.746
25,-65.918,-45.41,114.746,-77.148
26,22.461,11.23,104.492,30.273
27,2.441,6.836,115.234,0.977
28,-20.996,3.418,161.133,-26.367
29,-56.152,-11.719,153.32,-65.43
30,-67.871,-31.25,158.691,-71.289
31,-15.137,-13.184,178.223,-7.812
32,-0.488,-4.395,166.504,0.0
33,-22.461,-22.949,166.504,-20.508
34,-31.25,-33.203,169.434,-29.297
35,-35.156,-39.551,197.266,-48.828
36,-42.969,-44.434,231.934,-66.406
37,-53.223,-57.617,242.676,-57.617
38,-30.273,-50.781,253.418,-24.902
39,-17.578,-50.293,224.609,-23.438
40,-28.809,-32.227,188.477,-36.621
41,-32.715,-8.301,176.27,-40.039
42,-35.156,-15.137,158.203,-52.246
43,-55.176,-39.551,126.953,-72.754
44,-68.359,-63.965,120.605,-78.125
45,-58.594,-52.246,113.77,-74.219
46,-8.789,-8.301,82.52,-19.531
47,4.395,-0.488,53.711,-9.277
48,-22.949,-30.273,55.176,-51.758
49,-47.363,-49.805,50.781,-73.73
50,-104.492,-81.543,78.125,-122.559
51,-47.852,-43.945,139.16,-54.199
52,38.574,-9.277,104.98,36.621
53,3.906,-29.297,69.336,-6.348
54,-40.039,-28.809,71.289,-51.758
55,-61.523,-45.41,83.984,-71.289
56,-27.344,-33.203,110.352,-56.152
57,-0.488,-46.387,106.445,-32.715
58,-11.23,-63.477,90.82,-21.973
59,-31.25,-27.832,80.566,-35.156
60,-40.527,-18.066,70.801,-47.852
61,-35.645,-33.203,71.777,-37.109
62,-33.203,-41.504,71.777,-37.109
63,-38.574,-49.316,63.477,-49.316
64,-38.086,-62.5,52.734,-49.316
65,-29.297,-62.5,43.457,-36.621
66,-47.363,-73.73,35.645,-55.176
67,-31.738,-54.688,58.594,-20.02
68,8.301,-13.672,78.613,20.508
69,0.488,-22.461,83.008,-9.277
70,-20.996,-41.016,100.586,-23.438
71,-31.25,-45.41,110.84,-31.738
72,-34.18,-41.016,112.305,-38.086
73,-28.32,-37.598,119.629,-35.156
74,-30.762,-49.805,107.422,-38.086
75,-43.945,-44.434,88.379,-46.387
76,-22.949,-20.02,87.891,-25.879
77,-20.996,-37.598,52.734,-29.785
78,-29.785,-45.41,45.41,-32.715
79,-25.879,-48.828,52.246,-35.156
80,-37.598,-38.574,43.945,-47.852
81,-53.223,-25.391,42.969,-63.965
82,-36.133,-22.949,42.969,-55.176
83,-27.344,-22.949,37.598,-39.062
84,-38.086,-33.203,33.691,-39.062
85,-45.898,-38.086,37.109,-45.41
86,-40.527,-44.434,37.598,-44.434
87,-41.992,-70.312,32.227,-57.617
88,-58.594,-93.75,37.598,-80.566
89,-20.508,-35.645,52.246,-40.039
90,4.395,0.0,35.156,-1.465
91,-13.184,-26.855,12.207,-26.367
92,-13.184,-31.25,18.066,-41.016
93,-40.039,-39.551,13.672,-54.199
94,-99.121,-76.66,52.246,-101.562
95,-40.039,-56.641,89.355,-48.34
96,20.508,-3.418,14.16,20.996
97,-4.883,-6.348,8.789,13.184
98,-17.09,-34.18,18.555,-0.488
99,-14.16,-60.059,14.648,-15.137
100,-27.832,-65.918,24.414,-29.785
101,-59.082,-75.195,20.508,-60.547
102,-45.41,-52.246,49.805,-47.363
103,-6.836,-5.859,55.176,-3.906
104,-19.043,-12.695,20.508,-9.277
105,-44.434,-51.758,1.465,-26.367
106,-47.852,-63.965,1.465,-35.645
107,-40.039,-52.246,3.418,-42.48
108,-31.25,-39.551,-0.488,-53.223
109,-38.086,-34.668,-18.555,-49.805
110,-58.105,-52.246,-20.508,-61.035
111,-35.645,-53.223,2.441,-38.574
112,-4.883,-40.039,-21.973,-11.719
113,-11.719,-41.504,-52.246,-23.438
114,-10.742,-26.855,-27.832,-17.09
115,-16.113,-36.621,-22.461,-21.973
116,-15.625,-53.711,-44.434,-26.855
117,-18.066,-51.758,-40.039,-18.066
118,-34.18,-43.945,-28.32,-29.785
119,-43.457,-52.734,-20.02,-43.457
120,-47.363,-87.891,-2.93,-49.316
121,-53.223,-72.754,11.719,-57.129
122,-34.668,-16.602,18.555,-24.902
123,-11.719,15.137,-28.32,-1.953
124,-19.531,-5.859,-40.527,-20.02
125,-28.809,-29.297,-18.066,-36.621
126,-35.156,-37.598,-7.324,-44.922
127,-41.504,-46.875,-2.441,-35.156
128,-44.434,-56.641,-2.441,-37.109
129,-31.25,-61.035,2.441,-42.48
130,-28.32,-54.688,-4.883,-46.875
131,-27.344,-35.645,-4.883,-31.738
132,-25.391,-37.598,-11.719,-33.691
133,-27.344,-41.504,-30.762,-52.734
134,-47.852,-43.457,-47.363,-70.312
135,-47.363,-44.922,-29.297,-58.594
136,-16.602,-30.762,-12.695,-28.809
137,-5.371,-28.809,10.254,-22.949
138,-5.371,-37.598,41.016,-25.391
139,-7.324,-45.41,38.086,-23.438
140,-31.25,-75.195,39.551,-46.875
141,-63.477,-78.125,77.637,-79.102
142,-13.184,-7.812,98.633,-17.578
143,27.832,20.02,53.711,28.809
144,-9.766,-15.625,26.855,-20.996
145,-25.391,-41.016,29.297,-42.969
146,-22.461,-39.551,32.227,-38.574
147,-33.203,-40.039,28.32,-51.27
148,-36.133,-38.086,31.25,-58.594
149,-30.762,-49.805,34.18,-41.504
150,-12.695,-52.734,31.738,-27.344
151,-5.859,-41.016,20.508,-22.461
152,-17.578,-39.551,8.301,-25.391
153,-29.785,-50.781,5.859,-40.039
154,-27.344,-54.688,-9.277,-47.852
155,-7.324,-36.621,-15.137,-30.762
156,-6.836,-35.156,-9.277,-22.949
157,-15.625,-42.48,-7.324,-31.25
158,-24.414,-54.688,-21.973,-46.875
159,-44.434,-86.426,-33.691,-68.359
160,-90.332,-113.77,-15.625,-113.281
161,-25.879,-36.133,6.836,-27.832
162,24.902,3.906,-26.855,22.949
163,-0.977,-23.438,-38.574,-15.137
164,-28.809,-40.039,-20.996,-40.527
165,-70.801,-82.031,-0.977,-74.219
166,-18.555,-60.547,5.371,-18.066
167,10.742,-18.066,-26.855,-1.465
168,-21.484,-30.273,-43.945,-37.598
169,-35.645,-46.387,-33.691,-49.316
170,-49.316,-50.781,-21.484,-66.895
171,-49.316,-40.039,-18.555,-66.895
172,-30.762,-28.32,-16.602,-44.922
173,-20.996,-34.18,-19.043,-31.738
174,-32.227,-34.18,-35.645,-38.574
175,-26.367,-41.016,-32.227,-31.25
176,-19.043,-38.574,-31.738,-32.715
177,-35.645,-33.691,-39.062,-57.617
178,-39.062,-34.668,-21.973,-53.223
179,-19.043,-27.344,-16.113,-24.414
180,-1.465,-29.785,-46.387,-12.695
181,-11.719,-38.086,-57.617,-24.414
182,-23.926,-45.41,-48.828,-30.273
183,-22.949,-39.062,-47.852,-37.598
184,-25.879,-29.297,-47.852,-50.293
185,-41.504,-36.133,-48.828,-64.453
186,-56.641,-50.781,-14.648,-67.871
187,-7.324,-17.09,3.906,-1.953
188,7.324,-5.371,-37.598,0.488
189,-12.207,-35.156,-43.945,-25.391
190,-17.578,-41.504,-33.203,-13.184
191,-35.645,-32.227,-50.293,-33.691
192,-39.062,-35.645,-49.805,-35.645
193,-24.414,-36.621,-30.762,-19.043
194,-31.738,-34.18,-34.18,-29.785
195,-52.246,-42.48,-29.297,-57.617
196,-33.203,-24.414,-28.809,-36.621
197,-15.625,-8.789,-44.922,-20.02
198,-31.25,-20.996,-51.758,-40.527
199,-49.316,-44.434,-49.316,-56.152
200,-44.922,-45.898,-40.039,-48.34
201,-32.715,-25.879,-37.109,-32.227
202,-31.738,-21.484,-46.387,-33.203
203,-41.016,-53.711,-52.734,-51.27
204,-40.527,-52.734,-41.504,-40.039
205,-39.062,-10.742,-53.711,-43.457
206,-46.387,-11.719,-68.359,-71.777
207,-47.852,-27.832,-54.688,-65.43
208,-39.551,-32.227,-48.34,-48.34
209,-23.438,-34.668,-62.5,-26.855
210,-21.973,-36.133,-75.684,-34.18
211,-41.992,-41.016,-75.684,-41.504
212,-42.48,-38.086,-72.266,-35.156
213,-18.066,-25.879,-55.176,-15.625
214,-7.812,-17.578,-65.43,-12.695
215,-18.066,-26.855,-67.383,-39.062
216,-32.715,-50.781,-47.852,-43.457
217,-18.066,-35.156,-67.383,-16.602
218,-14.648,-24.414,-83.984,-18.066
219,-28.32,-31.25,-72.266,-37.109
220,-34.18,-30.762,-60.059,-34.18
221,-40.039,-33.203,-58.105,-30.762
222,-31.25,-32.715,-59.082,-31.25
223,-23.438,-27.832,-56.641,-26.367
224,-26.855,-33.203,-54.199,-21.484
225,-27.832,-34.18,-57.129,-34.18
226,-31.25,-36.621,-45.41,-31.25
227,-25.879,-41.016,-46.387,-23.926
228,-18.555,-26.855,-56.641,-20.996
229,-30.273,-25.391,-63.477,-24.902
230,-55.176,-49.316,-60.059,-50.293
231,-21.973,-26.855,-47.363,-24.414
232,0.488,-11.23,-57.617,0.0
233,-20.996,-22.461,-57.617,-18.066
234,-27.832,-34.18,-36.621,-22.461
235,-20.02,-42.969,-42.48,-22.949
236,-10.254,-36.621,-67.871,-32.227
237,-25.391,-40.527,-64.941,-34.668
238,-24.414,-36.133,-51.27,-21.973
239,-21.484,-30.762,-54.688,-20.508
240,-24.414,-36.621,-55.664,-22.949
241,-26.855,-40.527,-53.223,-27.832
242,-43.945,-34.18,-40.039,-41.992
243,-39.551,-25.879,-48.34,-41.016
244,-18.066,-16.113,-56.152,-9.277
245,-24.414,-27.344,-60.059,-22.461
246,-35.645,-53.223,-56.152,-45.41
247,-33.691,-45.41,-49.316,-25.879
248,-50.293,-37.109,-61.523,-60.547
249,-61.035,-44.922,-62.988,-83.984
250,-12.695,-11.23,-43.457,-21.484
251,-7.324,-15.137,-68.848,-5.859
252,-26.367,-40.039,-76.66,-27.832
253,-26.855,-35.645,-65.918,-30.273
254,-40.527,-37.109,-67.383,-46.387
255,-49.316,-50.781,-63.965,-53.711
256,-33.691,-41.016,-54.688,-47.852
257,-22.461,-30.273,-56.641,-35.156
258,-14.648,-30.762,-57.129,-19.043
259,-17.09,-27.832,-60.059,-15.137
260,-29.785,-29.297,-72.266,-28.32
261,-21.973,-35.645,-72.266,-34.18
262,-20.996,-42.969,-75.195,-39.551
263,-40.527,-46.875,-80.078,-66.895
264,-54.199,-50.293,-60.059,-70.801
265,-24.414,-29.785,-45.41,-35.156
266,12.207,-0.488,-60.059,-2.93
267,-2.93,-15.137,-71.777,-7.812
268,-24.414,-47.363,-68.848,-26.367
269,-28.32,-50.781,-66.895,-44.434
270,-36.133,-35.156,-65.918,-45.41
271,-35.156,-19.531,-58.594,-31.738
272,-33.203,-22.461,-65.918,-31.738
273,-26.367,-20.996,-67.383,-27.344
274,-19.531,-23.926,-68.359,-30.273
275,-19.531,-38.574,-72.266,-29.297
276,-41.992,-39.551,-80.078,-49.805
277,-67.383,-41.016,-68.848,-72.754
278,-15.137,-12.207,-56.152,-18.555
279,3.906,-9.766,-75.684,5.859
280,-16.113,-15.625,-80.566,-12.695
281,-17.578,-17.578,-78.125,-20.508
282,-20.02,-35.645,-81.543,-21.484
283,-28.32,-43.945,-78.613,-31.738
284,-29.297,-51.758,-68.359,-41.992
285,-32.227,-33.691,-68.848,-43.945
286,-24.902,-1.465,-73.73,-29.785
287,-18.555,1.465,-78.613,-22.461
288,-31.25,-8.789,-70.312,-38.086
289,-39.062,-18.066,-64.453,-37.598
290,-50.293,-25.879,-83.984,-45.41
291,-90.332,-62.5,-79.59,-100.586
292,-60.059,-59.082,-44.922,-68.848
293,24.902,8.301,-58.594,34.18
294,14.648,3.418,-74.219,32.227
295,-14.648,-26.855,-81.543,-7.324
296,-21.973,-41.992,-83.008,-26.855
297,-35.645,-41.992,-74.707,-31.25
298,-35.156,-21.484,-61.035,-25.879
299,-21.973,-18.555,-63.477,-19.531
300,-16.602,-29.297,-78.125,-21.484
301,-25.879,-34.18,-80.078,-31.738
302,-33.203,-36.133,-75.684,-35.156
303,-27.344,-41.992,-72.754,-36.621
304,-22.949,-42.48,-79.59,-31.25
305,-34.18,-47.852,-72.266,-35.156
306,-55.176,-59.082,-70.312,-61.035
307,-41.992,-41.016,-79.59,-55.176
308,-14.16,-31.25,-72.754,-20.02
309,-10.254,-37.598,-73.242,-12.207
310,-18.066,-26.367,-87.891,-24.902
311,-24.414,-22.949,-83.496,-32.227
312,-27.832,-35.645,-83.496,-48.34
313,-50.781,-52.246,-91.309,-74.219
314,-52.246,-29.785,-55.664,-52.734
315,-20.508,-1.953,-59.082,-8.789
316,-19.043,-12.695,-93.75,-11.23
317,-32.227,-25.879,-92.285,-35.156
318,-40.527,-30.273,-82.031,-49.316
319,-40.039,-37.109,-82.52,-39.062
320,-51.758,-38.574,-92.285,-44.434
321,-38.086,-18.066,-72.266,-28.32
322,-24.414,-27.832,-67.871,-13.184
323,-32.227,-41.016,-82.031,-29.297
324,-31.738,-28.809,-79.102,-37.598
325,-37.109,-26.855,-73.242,-33.203
326,-37.109,-28.809,-66.406,-34.18
327,-43.457,-33.691,-67.871,-48.34
328,-45.41,-32.715,-63.965,-46.875
329,-20.02,-17.578,-51.758,-26.367
330,-11.23,-17.578,-71.777,-26.367
331,-26.855,-22.949,-84.473,-23.926
332,-51.27,-35.645,-88.867,-50.293
333,-71.777,-50.293,-91.797,-83.984
334,-38.086,-38.574,-38.574,-46.387
335,4.395,-15.137,-36.133,4.395
336,-10.742,-22.949,-80.078,-8.301
337,-26.855,-32.227,-73.242,-35.645
338,-26.367,-33.691,-67.871,-40.039
339,-27.832,-40.527,-61.035,-34.668
340,-34.18,-53.223,-55.176,-44.922
341,-36.621,-32.715,-46.875,-53.711
342,-23.438,-3.418,-54.199,-35.645
343,-27.344,-12.695,-64.453,-31.738
344,-36.133,-22.949,-55.176,-39.062
345,-37.598,-31.738,-60.059,-42.969
346,-27.344,-34.18,-52.246,-32.227
347,-20.508,-38.086,-52.734,-45.898
348,-18.066,-39.062,-60.059,-30.273
349,-24.414,-28.32,-61.523,-17.09
350,-34.668,-24.414,-66.895,-39.551
351,-34.668,-34.668,-58.594,-40.039
352,-33.691,-35.645,-52.734,-38.086
353,-35.156,-34.668,-50.293,-33.691
354,-36.133,-34.668,-52.734,-29.297
355,-52.246,-43.457,-55.176,-56.641
356,-36.133,-38.086,-44.922,-53.223
357,-12.695,-19.043,-55.176,-18.555
358,-25.879,-20.02,-65.43,-21.973
359,-23.926,-17.578,-61.523,-30.762
360,-24.902,-18.066,-57.617,-37.598
361,-37.109,-27.832,-51.758,-36.621
362,-43.457,-41.016,-53.711,-47.852
363,-48.828,-48.828,-52.246,-58.105
364,-39.551,-33.203,-41.992,-44.922
365,-21.484,-16.113,-53.223,-20.996
366,-27.344,-30.273,-68.359,-22.949
367,-36.621,-41.016,-65.43,-33.691
368,-35.156,-23.926,-56.641,-34.668
369,-43.945,-18.066,-54.199,-41.016
370,-41.992,-15.137,-52.246,-32.227
371,-40.039,-23.438,-55.176,-39.551
372,-37.598,-34.668,-52.246,-47.852
373,-33.203,-45.898,-47.363,-41.992
374,-37.109,-44.922,-47.852,-48.34
375,-26.367,-27.832,-45.898,-26.367
376,-18.066,-24.902,-53.223,-8.301
377,-20.508,-34.668,-59.57,-20.996
378,-29.297,-40.527,-55.664,-28.32
379,-38.086,-31.738,-57.617,-26.367
380,-32.715,-16.602,-57.129,-27.832
381,-31.738,-14.16,-58.105,-37.598
382,-39.062,-23.926,-55.176,-39.062
383,-40.527,-31.738,-46.875,-38.574
384,-37.598,-33.691,-50.781,-29.785
385,-41.016,-35.156,-48.828,-25.391
386,-23.926,-27.832,-45.41,-19.531
387,-12.207,-22.461,-57.617,-8.789
388,-28.32,-33.203,-59.57,-21.973
389,-34.18,-42.48,-57.617,-32.715
390,-35.156,-30.273,-50.781,-33.203
391,-41.992,-28.32,-50.293,-32.227
392,-45.41,-39.551,-61.035,-38.574
393,-32.715,-41.504,-55.664,-38.086
394,-26.367,-39.062,-52.246,-34.18
395,-48.828,-40.039,-59.57,-50.781
396,-52.246,-26.855,-51.758,-49.316
397,-27.832,-15.625,-38.574,-21.973
398,-20.508,-21.484,-50.781,-18.066
399,-37.109,-26.855,-71.289,-38.086
