,TP9,AF7,AF8,TP10
0,-35.156,-20.508,-32.227,-50.293
1,-41.016,-22.949,-28.32,-49.316
2,-28.809,-20.996,-28.32,-44.922
3,-18.555,-19.043,-31.738,-40.527
4,-24.414,-18.555,-28.32,-40.527
5,-38.574,-20.02,-28.32,-43.457
6,-34.668,-24.902,-31.25,-41.504
7,-22.949,-24.902,-24.414,-36.621
8,-30.273,-21.484,-25.879,-42.48
9,-43.457,-21.484,-28.809,-45.41
10,-53.223,-18.555,-23.438,-45.898
11,-30.273,-15.625,-23.926,-47.852
12,-25.391,-22.949,-29.297,-46.387
13,-49.805,-25.391,-28.32,-47.363
14,-47.852,-24.902,-26.855,-53.711
15,-37.598,-24.414,-28.32,-53.711
16,-36.133,-20.508,-29.785,-54.199
17,-46.387,-21.973,-33.203,-60.059
18,-47.852,-20.996,-31.738,-60.547
19,-38.086,-18.066,-26.855,-54.688
20,-28.809,-20.508,-22.949,-46.875
21,-35.156,-20.996,-25.879,-47.852
22,-42.969,-18.555,-30.273,-48.828
23,-33.691,-18.555,-27.344,-46.387
24,-22.461,-16.602,-25.879,-41.504
25,-25.391,-18.066,-29.297,-41.504
26,-37.598,-19.043,-31.738,-50.293
27,-39.062,-18.555,-31.25,-51.27
28,-32.715,-20.996,-35.156,-44.922
29,-33.691,-21.973,-38.086,-41.504
30,-51.758,-22.949,-31.738,-44.922
31,-45.898,-22.461,-25.879,-46.387
32,-31.25,-24.414,-28.809,-44.434
33,-27.832,-23.438,-28.809,-46.875
34,-36.621,-22.461,-30.273,-54.688
35,-42.48,-20.508,-31.738,-50.781
36,-34.668,-20.508,-28.809,-42.48
37,-27.344,-22.461,-33.203,-45.898
38,-33.203,-26.367,-37.109,-52.734
39,-50.781,-25.391,-32.227,-54.199
40,-42.48,-24.902,-31.25,-54.688
41,-27.344,-21.484,-36.621,-56.641
42,-30.762,-17.09,-37.109,-56.152
43,-45.898,-19.043,-34.18,-56.641
44,-51.27,-23.926,-31.25,-61.035
45,-35.645,-21.973,-24.902,-63.477
46,-34.18,-19.531,-28.32,-62.5
47,-54.199,-22.949,-33.203,-65.43
48,-51.758,-21.973,-30.762,-60.547
49,-40.527,-19.531,-30.762,-55.664
50,-41.504,-21.484,-31.25,-51.27
51,-38.574,-20.996,-30.273,-47.852
52,-46.875,-23.438,-27.832,-50.781
53,-46.875,-29.785,-29.785,-52.246
54,-27.344,-27.832,-27.832,-43.457
55,-28.809,-23.438,-21.973,-40.039
56,-41.992,-24.414,-26.855,-49.316
57,-36.621,-27.344,-31.738,-48.828
58,-28.809,-25.879,-29.297,-43.457
59,-33.203,-21.973,-30.273,-49.316
60,-51.758,-22.461,-31.738,-54.688
61,-58.594,-23.438,-29.785,-53.223
62,-46.387,-22.949,-28.32,-49.316
63,-37.109,-24.414,-30.762,-48.34
64,-55.176,-26.367,-35.645,-61.523
65,-66.406,-24.902,-36.621,-64.453
66,-43.945,-22.461,-35.645,-54.199
67,-39.551,-21.973,-35.156,-55.176
68,-58.594,-22.461,-34.668,-59.082
69,-54.199,-22.949,-34.668,-61.523
70,-47.363,-22.949,-35.156,-66.406
71,-35.156,-23.926,-33.203,-60.547
72,-36.133,-27.344,-31.25,-57.129
73,-51.27,-28.32,-29.297,-62.012
74,-48.34,-26.855,-29.785,-58.594
75,-30.762,-23.438,-31.25,-53.223
76,-25.391,-22.949,-28.32,-51.27
77,-32.715,-24.902,-30.762,-55.176
78,-39.062,-20.996,-31.738,-55.664
79,-27.344,-19.531,-25.879,-55.176
80,-21.973,-20.02,-23.438,-51.758
81,-38.574,-17.578,-24.902,-51.758
82,-35.645,-19.043,-31.738,-56.641
83,-23.438,-21.484,-33.203,-53.711
84,-13.184,-21.484,-33.203,-50.293
85,-24.414,-20.508,-29.785,-49.805
86,-52.246,-22.949,-26.855,-49.805
87,-39.551,-21.484,-27.832,-49.805
88,-20.02,-20.996,-24.414,-46.387
89,-29.297,-27.344,-23.438,-47.363
90,-43.457,-26.367,-24.902,-52.734
91,-42.48,-22.461,-23.438,-47.852
92,-25.879,-18.066,-20.508,-42.969
93,-27.832,-20.02,-25.391,-48.34
94,-55.664,-22.949,-28.809,-59.082
95,-57.617,-24.414,-28.809,-57.129
96,-38.086,-25.879,-29.297,-53.223
97,-35.645,-25.879,-32.227,-55.176
98,-44.434,-25.879,-31.738,-55.664
99,-51.758,-24.902,-29.297,-54.688
100,-50.781,-29.297,-29.785,-55.664
101,-36.133,-27.832,-29.785,-50.293
102,-33.691,-22.461,-29.785,-48.828
103,-48.828,-23.438,-32.227,-58.105
104,-48.34,-24.902,-34.18,-58.105
105,-29.297,-20.996,-33.691,-41.016
106,-26.367,-23.926,-28.32,-35.156
107,-56.152,-30.273,-30.273,-57.129
108,-58.594,-25.391,-31.25,-64.453
109,-22.949,-19.531,-29.785,-54.688
110,-23.438,-23.926,-32.715,-61.035
111,-41.992,-25.879,-31.738,-63.965
112,-42.48,-22.949,-31.25,-64.941
113,-27.344,-19.531,-35.156,-62.5
114,-16.602,-17.578,-36.133,-58.594
115,-29.785,-19.531,-35.156,-53.223
116,-54.199,-23.926,-35.645,-42.48
117,-48.34,-24.414,-35.156,-41.504
118,-29.785,-18.555,-29.297,-37.598
119,-37.598,-18.555,-30.762,-41.504
120,-53.223,-15.625,-29.785,-54.199
121,-43.457,-14.648,-29.297,-49.316
122,-21.484,-14.16,-30.762,-41.992
123,-26.367,-15.625,-27.832,-41.504
124,-41.016,-18.555,-30.273,-44.434
125,-44.922,-19.531,-30.762,-41.992
126,-47.852,-21.973,-32.715,-40.039
127,-32.227,-23.438,-34.668,-42.48
128,-40.527,-23.438,-33.691,-45.41
129,-52.246,-20.996,-29.785,-51.758
130,-37.598,-21.484,-26.367,-55.664
131,-26.367,-24.414,-32.227,-54.688
132,-32.715,-21.484,-31.25,-59.082
133,-47.363,-20.996,-31.25,-64.941
134,-49.805,-25.391,-35.156,-64.453
135,-42.48,-21.973,-33.691,-58.105
136,-46.387,-19.043,-30.273,-58.594
137,-64.941,-22.461,-32.715,-65.43
138,-61.035,-20.508,-33.203,-65.43
139,-40.039,-23.926,-33.691,-59.57
140,-42.48,-23.438,-32.227,-56.152
141,-59.082,-22.461,-31.738,-61.523
142,-56.641,-21.973,-32.227,-63.477
143,-34.668,-20.02,-34.18,-53.711
144,-22.949,-22.461,-36.133,-49.316
145,-41.992,-24.414,-32.715,-51.27
146,-58.594,-26.367,-27.344,-54.688
147,-31.25,-25.391,-26.367,-52.246
148,-13.184,-21.973,-24.902,-38.574
149,-33.691,-24.414,-28.32,-41.992
150,-50.293,-28.32,-30.273,-52.734
151,-42.969,-26.855,-30.273,-47.852
152,-26.855,-19.531,-26.367,-38.086
153,-28.32,-19.043,-22.461,-40.039
154,-46.875,-21.973,-25.879,-46.387
155,-47.852,-19.531,-25.391,-50.293
156,-30.762,-16.602,-28.32,-50.781
157,-27.832,-17.578,-31.25,-48.34
158,-48.828,-20.996,-30.762,-57.129
159,-43.457,-21.484,-27.832,-57.129
160,-37.598,-22.949,-27.832,-53.223
161,-36.621,-18.066,-30.762,-52.246
162,-37.109,-17.09,-30.762,-50.781
163,-48.828,-18.555,-26.855,-51.27
164,-47.363,-19.043,-24.414,-52.246
165,-24.902,-20.02,-28.32,-49.316
166,-33.203,-20.02,-31.25,-52.246
167,-50.781,-23.926,-31.25,-61.035
168,-47.852,-26.367,-33.691,-60.547
169,-32.715,-19.043,-30.762,-55.664
170,-30.762,-17.578,-32.715,-58.105
171,-49.316,-22.461,-40.039,-67.871
172,-57.129,-24.414,-39.551,-72.754
173,-52.246,-24.902,-40.527,-65.43
174,-48.828,-25.879,-37.598,-59.57
175,-61.523,-28.32,-34.668,-69.336
176,-63.965,-29.297,-31.738,-68.848
177,-49.805,-30.273,-34.18,-62.5
178,-42.969,-33.691,-36.133,-60.059
179,-56.641,-35.156,-35.156,-59.57
180,-56.152,-32.227,-34.668,-61.035
181,-56.641,-31.25,-31.738,-59.57
182,-52.246,-29.785,-32.715,-58.105
183,-40.527,-20.508,-31.25,-56.152
184,-57.617,-18.066,-31.738,-56.641
185,-46.875,-18.066,-32.227,-53.223
186,-30.762,-18.066,-31.25,-48.828
187,-34.668,-20.508,-34.668,-47.852
188,-47.852,-17.09,-34.668,-54.199
189,-52.734,-19.043,-33.691,-60.059
190,-39.062,-25.391,-33.691,-53.711
191,-28.809,-29.297,-34.18,-54.199
192,-43.457,-26.367,-32.715,-61.523
193,-55.664,-23.438,-28.809,-61.035
194,-45.41,-22.461,-26.367,-60.059
195,-39.062,-22.949,-26.367,-62.012
196,-49.316,-24.414,-30.273,-62.5
197,-53.223,-19.043,-30.762,-61.035
198,-50.293,-18.066,-27.832,-62.012
199,-42.48,-18.555,-27.344,-54.199
200,-36.133,-17.578,-31.25,-46.875
201,-45.898,-20.02,-31.738,-54.199
202,-54.688,-20.996,-32.715,-55.176
203,-41.992,-21.484,-35.156,-53.223
204,-38.086,-19.531,-32.227,-55.664
205,-60.059,-19.043,-29.785,-59.57
206,-60.547,-13.672,-30.762,-60.059
207,-41.016,-9.766,-32.227,-53.711
208,-28.809,-11.719,-28.32,-47.852
209,-33.203,-12.207,-24.902,-44.922
210,-41.992,-13.184,-26.855,-46.387
211,-31.25,-14.16,-24.414,-42.969
212,-28.32,-20.996,-23.926,-39.062
213,-50.781,-23.926,-30.273,-45.898
214,-56.641,-18.066,-30.273,-54.199
215,-45.898,-18.555,-30.273,-55.176
216,-40.039,-19.531,-31.738,-48.34
217,-46.387,-18.555,-28.809,-47.852
218,-48.34,-20.996,-26.367,-57.617
