,TP9,AF7,AF8,TP10
0,-4.883,-22.461,-24.414,13.184
1,-7.812,-16.602,-29.297,9.277
2,1.953,-15.137,-32.227,1.953
3,-9.766,-20.996,-31.25,-3.418
4,-30.273,-19.531,-30.762,-12.695
5,-38.086,-19.043,-22.461,-26.367
6,-52.734,-19.043,-29.785,-49.805
7,-77.148,-18.066,-34.668,-68.359
8,-109.375,-23.926,-28.809,-87.402
9,-145.996,-30.762,-32.715,-122.559
10,-169.922,-40.527,-33.203,-151.855
11,-163.086,-40.039,-29.785,-146.484
12,-172.363,-21.484,-41.992,-164.551
13,-219.238,-20.508,-49.316,-216.797
14,-239.258,-30.273,-47.363,-226.074
15,-212.402,-25.391,-46.387,-198.73
16,-186.523,-14.648,-52.246,-180.664
17,-175.293,-5.371,-56.641,-166.016
18,-152.344,-4.395,-53.223,-137.695
19,-124.512,-3.418,-52.734,-121.582
20,-99.121,-2.441,-56.641,-108.398
21,-86.426,-4.395,-55.664,-78.613
22,-67.383,0.977,-54.199,-62.5
23,-31.25,6.836,-55.664,-43.945
24,-16.113,-3.418,-49.316,-22.461
25,-19.531,-11.23,-45.41,-14.16
26,-22.949,-11.23,-45.41,-19.043
27,-9.766,-12.207,-50.781,-15.137
28,13.184,-13.184,-51.27,9.277
29,19.043,-16.113,-45.898,20.508
30,15.625,-18.555,-43.945,19.531
31,18.555,-18.555,-42.969,27.344
32,42.969,-22.461,-35.156,42.969
33,47.852,-20.02,-27.832,50.293
34,25.879,-17.578,-28.809,46.875
35,29.297,-20.508,-27.344,52.246
36,46.387,-22.461,-26.367,58.105
37,44.922,-21.484,-27.832,57.129
38,36.621,-21.484,-26.855,58.594
39,36.621,-24.902,-25.879,54.688
40,42.969,-27.832,-29.785,51.758
41,41.992,-29.297,-25.879,54.688
42,29.297,-30.273,-22.949,50.293
43,22.949,-30.762,-23.926,41.992
44,31.25,-29.297,-23.926,38.086
45,33.203,-30.273,-23.438,36.621
46,17.578,-32.715,-22.461,28.809
47,9.277,-30.273,-30.273,22.461
48,18.555,-29.785,-30.273,18.555
49,25.391,-31.738,-25.879,12.695
50,13.672,-26.855,-28.32,8.789
51,-5.859,-24.902,-27.344,1.465
52,-5.371,-24.414,-27.344,-5.371
53,8.789,-18.555,-27.344,-1.465
54,1.953,-20.02,-30.762,-0.488
55,-13.184,-23.926,-31.25,-5.371
56,-13.672,-28.32,-29.785,-7.324
57,-2.93,-32.227,-32.227,-2.441
58,0.977,-22.461,-38.086,3.906
59,-6.836,-20.02,-20.508,1.465
60,-15.137,-24.902,17.09,-5.371
61,-10.742,-26.367,28.32,-2.93
62,-1.953,-25.879,27.344,5.371
63,-1.465,-24.414,22.949,3.418
64,-10.254,-26.367,15.137,-2.93
65,-9.766,-24.414,11.23,0.977
66,-0.488,-25.391,5.859,0.488
67,0.977,-27.344,-2.441,-5.371
68,-12.207,-25.879,-5.859,-5.859
69,-26.367,-24.902,-6.348,-6.348
70,-17.578,-27.344,-10.254,-14.648
71,-11.719,-20.996,-8.301,-14.16
72,-29.297,-22.461,-6.348,-14.648
73,-30.273,-23.926,-14.16,-19.531
74,-15.137,-21.973,-14.648,-5.371
75,-24.902,-33.691,-1.953,-0.977
76,-48.34,-34.668,-6.836,-20.996
77,-50.781,-33.691,-16.602,-33.203
78,-36.621,-34.18,-18.555,-29.297
79,-24.414,-28.809,-20.996,-20.508
80,-25.391,-26.367,-22.461,-15.137
81,-34.668,-26.367,-22.949,-18.555
82,-25.879,-24.414,-22.461,-21.973
83,-13.184,-27.344,-19.531,-24.902
84,-16.602,-25.879,-25.391,-30.273
85,-17.578,-27.832,-32.715,-37.598
86,-19.531,-32.715,-31.25,-35.645
87,-31.738,-29.785,-29.785,-27.344
88,-39.062,-29.297,-28.809,-30.273
89,-44.922,-29.297,-19.531,-27.832
90,-48.34,-30.273,-19.531,-23.926
91,-41.992,-30.273,-29.785,-24.902
92,-31.25,-28.32,-27.832,-19.531
93,-36.621,-27.832,-27.344,-25.391
94,-46.387,-28.809,-26.855,-24.902
95,-41.992,-26.367,-23.438,-16.602
96,-30.273,-27.344,-27.344,-12.207
97,-33.203,-30.762,-28.32,-11.719
98,-45.898,-29.297,-25.879,-17.578
99,-45.41,-25.391,-26.367,-17.09
100,-33.691,-24.414,-26.367,-16.113
101,-36.621,-21.973,-24.902,-17.578
102,-45.898,-20.02,-21.973,-16.602
103,-46.387,-20.508,-28.32,-21.484
104,-35.156,-22.461,-28.809,-22.461
105,-27.344,-27.344,-27.344,-20.996
106,-42.48,-29.785,-30.762,-28.809
107,-54.199,-32.227,-28.809,-32.227
108,-40.527,-32.715,-27.832,-29.785
109,-37.598,-33.691,-27.832,-31.25
110,-55.176,-37.598,-28.32,-43.457
111,-58.594,-32.715,-32.227,-48.34
112,-53.711,-26.367,-30.762,-45.898
113,-45.898,-27.344,-22.461,-41.992
114,-51.27,-29.785,-23.926,-41.992
115,-63.477,-33.203,-23.926,-37.598
116,-57.129,-32.715,-23.438,-37.598
117,-43.945,-24.902,-20.508,-41.504
118,-43.945,-21.973,-14.648,-41.992
119,-69.336,-30.273,-25.391,-60.059
120,-83.008,-30.273,-31.25,-69.336
121,-83.008,-28.809,-34.18,-75.195
122,-97.168,-31.25,-36.133,-90.82
123,-133.301,-34.18,-38.086,-119.629
124,-160.156,-34.668,-39.551,-145.996
125,-172.852,-35.156,-41.504,-171.875
126,-188.477,-37.109,-43.945,-190.918
127,-212.402,-43.457,-42.969,-202.637
128,-222.656,-39.551,-45.898,-216.309
129,-226.562,-26.855,-48.828,-225.098
130,-239.746,-29.297,-40.527,-238.281
131,-240.234,-27.832,-42.48,-238.281
132,-240.723,-26.367,-46.875,-217.285
133,-222.656,-26.855,-48.828,-192.871
134,-191.406,-32.227,-45.41,-173.34
135,-176.758,-38.086,-39.062,-163.086
136,-158.203,-31.25,-42.969,-142.578
137,-134.766,-25.391,-40.039,-119.629
138,-113.281,-28.809,-27.832,-93.262
139,-81.543,-31.738,-27.832,-67.871
140,-65.918,-24.414,-29.297,-52.246
141,-58.105,-22.461,-29.785,-38.086
142,-37.598,-23.926,-33.691,-29.785
143,-22.461,-23.438,-28.809,-20.508
144,-20.996,-30.273,-29.785,-12.207
145,-20.508,-31.738,-32.715,-4.883
146,-13.184,-25.879,-30.762,2.441
147,8.301,-27.832,-29.785,15.137
148,17.578,-28.32,-27.344,19.043
149,4.883,-22.461,-28.32,15.625
150,5.859,-22.461,-30.273,15.137
151,15.625,-27.344,-29.785,13.184
152,20.02,-27.344,-27.832,20.996
153,7.812,-26.855,-28.809,25.391
154,-3.418,-27.344,-29.297,18.555
155,11.23,-23.926,-27.344,21.973
156,20.996,-20.02,-23.438,31.738
157,10.742,-17.578,-27.344,24.414
158,4.395,-21.973,-28.32,18.555
159,12.207,-20.508,-28.809,22.949
160,20.996,-16.113,-28.32,29.297
161,18.066,-16.113,-23.926,27.344
162,9.277,-19.531,-26.855,16.113
163,7.812,-24.902,-30.273,13.184
164,13.672,-29.785,-31.738,12.207
165,8.301,-34.668,-27.344,13.184
166,-5.371,-32.227,-26.855,8.301
167,-8.301,-23.926,-25.879,7.812
168,2.441,-20.508,-22.461,9.766
169,14.648,-27.344,-23.438,9.277
170,-8.301,-31.25,-19.531,2.93
171,-26.367,-27.344,-18.555,-8.789
172,-20.996,-25.879,-22.461,-7.812
173,-15.137,-23.926,-22.949,-12.207
174,-27.832,-27.832,-26.367,-22.949
175,-41.504,-27.832,-27.344,-17.09
176,-36.133,-24.414,-29.297,-11.719
177,-31.25,-28.32,-29.785,-14.648
178,-27.344,-28.32,-24.902,-18.066
179,-31.25,-26.855,-23.926,-20.508
180,-35.645,-27.832,-25.391,-23.438
181,-26.855,-23.438,-25.391,-20.02
182,-22.461,-20.02,-27.344,-15.625
183,-25.879,-17.09,-29.297,-14.16
184,-26.367,-22.949,-29.785,-15.625
185,-20.508,-27.832,-31.738,-16.602
186,-20.508,-24.414,-30.762,-18.555
187,-30.762,-26.367,-26.367,-23.438
188,-33.203,-29.297,-30.273,-21.484
189,-26.367,-27.832,-33.691,-23.926
190,-28.32,-22.949,-34.18,-24.414
191,-34.668,-20.996,-32.715,-27.344
192,-44.922,-22.461,-32.715,-30.762
193,-40.039,-18.555,-30.762,-24.414
194,-31.738,-18.066,-28.32,-18.555
195,-42.969,-25.879,-35.156,-27.832
196,-53.711,-28.32,-37.598,-37.598
197,-51.758,-26.367,-29.785,-34.668
198,-41.016,-26.855,-26.367,-35.645
