,TP9,AF7,AF8,TP10,Time_Modified
0,969.238,-995.605,-1000.0,970.215,0.023999999975785613
1,969.238,-1000.0,-990.723,969.727,0.028000000049360096
2,969.727,-968.262,-894.531,969.727,0.03100000007543713
3,969.238,-808.105,-782.715,969.727,0.03500000003259629
4,969.238,-635.254,-655.273,969.727,0.03899999998975545
5,969.727,-611.328,-510.254,969.727,0.043000000063329935
6,969.238,-635.742,-427.734,969.727,0.0470000000204891
7,969.238,-535.156,-296.875,969.727,0.05099999997764826
8,969.238,-414.062,-117.188,969.727,0.05400000000372529
9,969.238,-332.52,9.277,970.215,0.058000000077299774
10,969.238,-251.953,85.938,969.727,0.062000000034458935
11,969.238,-235.352,75.195,969.727,0.0659999999916181
12,969.238,-370.117,-40.527,967.285,0.0590000000083819
13,969.238,-483.887,-92.773,969.727,0.06300000008195639
14,969.238,-550.293,-82.52,980.957,0.06700000003911555
15,969.238,-594.238,-110.84,873.535,0.07099999999627471
16,969.238,-553.711,-127.93,899.902,0.0750000000698492
17,968.75,-546.387,-133.789,987.793,0.07900000002700835
18,969.238,-482.422,-76.66,963.867,0.08200000005308539
19,969.238,-361.816,16.602,970.703,0.08600000001024455
20,969.238,-268.066,41.992,969.727,0.09000000008381903
21,969.238,-220.215,21.484,969.727,0.09499999997206032
22,969.238,-286.133,36.621,969.727,0.0990000000456348
23,969.238,-315.918,56.152,969.727,0.10300000000279397
24,969.238,-207.031,121.582,969.727,0.10400000005029142
25,969.238,-149.902,190.918,969.727,0.10800000000745058
26,969.238,-176.27,227.051,969.727,0.11199999996460974
27,969.238,-76.172,354.492,969.727,0.11600000003818423
28,969.238,4.883,469.727,969.727,0.11999999999534339
29,969.238,27.832,521.973,969.727,0.12399999995250255
30,969.238,167.48,604.492,969.727,0.12800000002607703
31,969.238,257.812,645.996,969.727,0.13100000005215406
32,969.238,232.91,678.223,969.727,0.13500000000931323
33,969.238,293.457,725.098,969.727,0.1389999999664724
34,969.238,340.332,758.301,969.727,0.14300000004004687
35,969.238,385.254,801.758,969.727,0.14699999999720603
36,969.238,475.586,825.684,969.727,0.15000000002328306
37,969.238,508.789,833.008,969.727,0.15399999998044223
38,969.238,576.172,846.191,969.727,0.1579999999376014
39,969.238,654.785,912.598,969.727,0.16200000001117587
40,969.238,661.621,970.703,969.727,0.16599999996833503
41,969.238,677.734,969.238,969.727,0.1699999999254942
42,969.238,750.0,968.75,969.727,0.17399999999906868
43,969.238,718.75,970.215,969.727,0.1769999999087304
44,969.238,733.398,969.727,969.727,0.18099999998230487
45,969.238,793.945,969.727,969.727,0.18499999993946403
46,969.238,813.965,969.727,969.727,0.18900000001303852
47,969.238,810.059,969.727,974.609,0.19299999997019768
48,970.703,802.246,970.215,902.832,0.19499999994877726
49,966.797,792.48,969.727,-893.066,0.19900000002235174
50,930.176,712.402,969.727,278.32,0.2029999999795109
51,-970.703,677.734,970.215,-1000.0,0.20699999993667006
52,406.738,688.477,970.215,-999.512,0.21100000001024455
53,-766.113,588.867,970.215,-965.82,0.21399999991990626
54,-1000.0,625.488,970.215,-1000.0,0.21799999999348074
55,-968.262,812.988,970.215,-1000.0,0.2219999999506399
56,-1000.0,895.996,970.215,-1000.0,0.2260000000242144
57,-1000.0,912.109,970.215,-1000.0,0.22999999998137355
58,-1000.0,953.613,970.215,-1000.0,0.23300000000745058
59,-1000.0,974.609,970.215,-1000.0,0.23699999996460974
60,-1000.0,967.773,970.215,-1000.0,0.25300000002607703
61,-1000.0,970.215,969.727,-1000.0,0.2569999999832362
62,-1000.0,970.215,970.215,-1000.0,0.2610000000568107
63,-1000.0,970.215,970.215,-1000.0,0.26500000001396984
64,-1000.0,970.215,969.727,-1000.0,0.268999999971129
65,-1000.0,970.215,970.215,-1000.0,0.2730000000447035
66,-1000.0,970.215,970.215,-1000.0,0.2759999999543652
67,-1000.0,970.215,970.215,-1000.0,0.2800000000279397
68,-1000.0,970.215,970.215,-1000.0,0.28399999998509884
69,-1000.0,970.215,970.215,-1000.0,0.2880000000586733
70,-1000.0,970.215,970.215,-1000.0,0.2920000000158325
71,-1000.0,970.215,970.215,-1000.0,0.2950000000419095
72,-989.258,970.215,970.215,-1000.0,0.2989999999990687
73,-957.52,970.215,970.215,-1000.0,0.30300000007264316
74,-1000.0,970.215,970.215,-1000.0,0.3070000000298023
75,-41.992,970.215,970.215,-1000.0,0.3109999999869615
76,-928.711,970.215,968.75,-1000.0,0.3140000000130385
77,933.105,970.215,971.68,-1000.0,0.318000000086613
78,954.59,970.215,959.961,-1000.0,0.32200000004377216
79,973.145,970.215,934.57,-1000.0,0.3260000000009313
80,969.238,969.727,914.062,-1000.0,0.3300000000745058
81,969.238,970.215,883.789,-1000.0,0.33400000003166497
82,969.238,970.215,874.512,-1000.0,0.33799999998882413
83,969.727,970.215,877.441,-1000.0,0.3420000000623986
84,969.238,970.215,862.305,-1000.0,0.3440000000409782
85,969.238,974.121,836.426,-1000.0,0.34799999999813735
86,969.238,955.078,816.895,-937.5,0.3519999999552965
87,969.238,937.012,794.922,-1000.0,0.356000000028871
88,969.238,-953.613,772.461,-219.727,0.35999999998603016
